timestamp,open,high,low,close,volume
2024-01-02,100,101,99,100.5,1500
2024-01-03,100.5,102,100,101.8,1800
2024-01-04,101.8,103,101,102.5,1600
2024-01-05,102.5,104,102,103.7,1750
2024-01-08,103.7,105,103,104.9,1900
2024-01-09,104.9,106,104,105.6,1700
2024-01-10,105.6,107,105,106.8,2000
2024-01-11,106.8,108,106,107.2,2100
2024-01-12,107.2,109,107,108.5,2200
2024-01-15,108.5,110,108,109.1,2000
2024-01-16,109.1,111,109,110.4,1950
2024-01-17,110.4,112,110,111.8,2050
2024-01-18,111.8,113,111,112.5,2100
2024-01-19,112.5,114,112,113.2,2150
2024-01-22,113.2,115,113,114.7,2200
2024-01-23,114.7,116,114,115.1,2100
2024-01-24,115.1,117,115,116.4,2050
2024-01-25,116.4,118,116,117.2,2000
2024-01-26,117.2,119,117,118.5,1950
2024-01-29,118.5,120,118,119.3,1900
2024-01-30,119.3,121,119,120.4,1850
2024-01-31,120.4,122,120,121.0,1800
2024-02-01,121.0,122,120,120.5,1750
2024-02-02,120.5,121,119,119.8,1700
2024-02-05,119.8,121,119,120.2,1650
2024-02-06,120.2,121,118,119.1,1600
2024-02-07,119.1,120,118,118.4,1550
2024-02-08,118.4,119,117,117.6,1500
2024-02-09,117.6,118,116,116.9,1400
2024-02-12,116.9,117,115,116.2,1350
2024-02-13,116.2,117,115,115.7,1300
2024-02-14,115.7,116,114,115.1,1250
2024-02-15,115.1,116,114,115.9,1400
2024-02-16,115.9,117,115,116.8,1450
2024-02-20,116.8,118,116,117.5,1500
2024-02-21,117.5,119,117,118.2,1550
2024-02-22,118.2,120,118,119.4,1600
2024-02-23,119.4,121,119,120.7,1650
2024-02-26,120.7,122,120,121.3,1700
2024-02-27,121.3,123,121,122.6,1750
2024-02-28,122.6,124,122,123.8,1800
2024-02-29,123.8,125,123,124.5,1850
2024-03-01,124.5,126,124,125.2,1900
2024-03-04,125.2,127,125,126.1,1950
2024-03-05,126.1,128,125,126.8,2000
2024-03-06,126.8,129,126,127.5,2050
2024-03-07,127.5,130,127,128.3,2100
2024-03-08,128.3,131,128,129.1,2150
2024-03-11,129.1,132,129,130.0,2200
2024-03-12,130.0,133,130,130.8,2250
2024-03-13,130.8,134,130,131.4,2300
